,number,segment,en,de,es,fr,id,it,ja,ko,lt,lv,pl,ru,tr,th,vi
269,7655,7|x|1000|+|6|x|100|+|50|+|5,"seven thousand, six hundred and fifty-five",siebentausendsechshundertfünfundfünfzig,siete mil seiscientos cincuenta y cinco,sept mille six cent cinquante-cinq,tujuh ribu enam ratus lima puluh lima,settemilaseicentocinquantacinque,七千六百五十五,칠천육백오십오,septyni tūkstančiai šeši šimtai penkiasdešimt penki,septiņi tūkstoši seši simti piecdesmit pieci,siedem tysięcy sześćset pięćdziesiąt pięć,семь тысяч шестьсот пятьдесят пять,yedibinaltıyüzellibeş,เจ็ดพันหกร้อยห้าสิบห้า,bảy nghìn sáu trăm năm mươi lăm
270,3499,3|x|1000|+|4|x|100|+|90|+|9,"three thousand, four hundred and ninety-nine",dreitausendvierhundertneunundneunzig,tres mil cuatrocientos noventa y nueve,trois mille quatre cent quatre-vingt-dix-neuf,tiga ribu empat ratus sembilan puluh sembilan,tremilaquattrocentonovantanove,三千四百九十九,삼천사백구십구,trys tūkstančiai keturi šimtai devyniasdešimt devyni,trīs tūkstoši četri simti deviņdesmit deviņi,trzy tysiące czterysta dziewięćdzisiąt dziewięć,три тысячи четыреста девяносто девять,üçbindörtyüzdoksandokuz,สามพันสี่ร้อยเก้าสิบเก้า,ba nghìn bốn trăm chín mươi chín
271,3039,3|x|1000|+|0|x|100|+|30|+|9,three thousand and thirty-nine,dreitausendneununddreißig,tres mil treinta y nueve,trois mille trente-neuf,tiga ribu tiga puluh sembilan,tremilatrentanove,三千三十九,삼천삼십구,trys tūkstančiai trisdešimt devyni,trīs tūkstoši trīsdesmit deviņi,trzy tysiące trzydzieści dziewięć,три тысячи тридцать девять,üçbinotuzdokuz,สามพันสามสิบเก้า,ba nghìn lẻ ba mươi chín
272,5607,5|x|1000|+|6|x|100|+|0|+|7,"five thousand, six hundred and seven",fünftausendsechshundertsieben,cinco mil seiscientos siete,cinq mille six cent sept,lima ribu enam ratus tujuh,cinquemilaseicentosette,五千六百七,오천육백칠,penki tūkstančiai šeši šimtai septyni,pieci tūkstoši seši simti septiņi,pięć tysięcy sześćset siedem,пять тысяч шестьсот семь,beşbinaltıyüzyedi,ห้าพันหกร้อยเจ็ด,năm nghìn sáu trăm lẻ bảy
273,2612,2|x|1000|+|6|x|100|+|10|+|2,"two thousand, six hundred and twelve",zweitausendsechshundertzwölf,dos mil seiscientos doce,deux mille six cent douze,dua ribu enam ratus dua belas,duemilaseicentododici,二千六百十二,이천육백십이,du tūkstančiai šeši šimtai dvylika,divi tūkstoši seši simti divpadsmit,dwa tysiące sześćset dwanaście,две тысячи шестьсот двенадцать,ikibinaltıyüzoniki,สองพันหกร้อยสิบสอง,hai nghìn sáu trăm mười hai
274,8596,8|x|1000|+|5|x|100|+|90|+|6,"eight thousand, five hundred and ninety-six",achttausendfünfhundertsechsundneunzig,ocho mil quinientos noventa y seis,huit mille cinq cent quatre-vingt-seize,delapan ribu lima ratus sembilan puluh enam,ottomilacinquecentonovantasei,八千五百九十六,팔천오백구십육,aštuoni tūkstančiai penki šimtai devyniasdešimt šeši,astoņi tūkstoši pieci simti deviņdesmit seši,osiem tysięcy pięćset dziewięćdzisiąt sześć,восемь тысяч пятьсот девяносто шесть,sekizbinbeşyüzdoksanaltı,แปดพันห้าร้อยเก้าสิบหก,tám nghìn năm trăm chín mươi sáu
275,8296,8|x|1000|+|2|x|100|+|90|+|6,"eight thousand, two hundred and ninety-six",achttausendzweihundertsechsundneunzig,ocho mil doscientos noventa y seis,huit mille deux cent quatre-vingt-seize,delapan ribu dua ratus sembilan puluh enam,ottomiladuecentonovantasei,八千二百九十六,팔천이백구십육,aštuoni tūkstančiai du šimtai devyniasdešimt šeši,astoņi tūkstoši divi simti deviņdesmit seši,osiem tysięcy dwieście dziewięćdzisiąt sześć,восемь тысяч двести девяносто шесть,sekizbinikiyüzdoksanaltı,แปดพันสองร้อยเก้าสิบหก,tám nghìn hai trăm chín mươi sáu
276,9285,9|x|1000|+|2|x|100|+|80|+|5,"nine thousand, two hundred and eighty-five",neuntausendzweihundertfünfundachtzig,nueve mil doscientos ochenta y cinco,neuf mille deux cent quatre-vingt-cinq,sembilan ribu dua ratus delapan puluh lima,novemiladuecentottantacinque,九千二百八十五,구천이백팔십오,devyni tūkstančiai du šimtai aštuoniasdešimt penki,deviņi tūkstoši divi simti astoņdesmit pieci,dziewięć tysięcy dwieście osiemdziesiąt pięć,девять тысяч двести восемьдесят пять,dokuzbinikiyüzseksenbeş,เก้าพันสองร้อยแปดสิบห้า,chín nghìn hai trăm tám mươi lăm
277,4265,4|x|1000|+|2|x|100|+|60|+|5,"four thousand, two hundred and sixty-five",viertausendzweihundertfünfundsechzig,cuatro mil doscientos sesenta y cinco,quatre mille deux cent soixante-cinq,empat ribu dua ratus enam puluh lima,quattromiladuecentosessantacinque,四千二百六十五,사천이백육십오,keturi tūkstančiai du šimtai šešiasdešimt penki,četri tūkstoši divi simti sešdesmit pieci,cztery tysiące dwieście sześćdziesiąt pięć,четыре тысячи двести шестьдесят пять,dörtbinikiyüzaltmışbeş,สี่พันสองร้อยหกสิบห้า,bốn nghìn hai trăm sáu mươi lăm
278,8413,8|x|1000|+|4|x|100|+|10|+|3,"eight thousand, four hundred and thirteen",achttausendvierhundertdreizehn,ocho mil cuatrocientos trece,huit mille quatre cent treize,delapan ribu empat ratus tiga belas,ottomilaquattrocentotredici,八千四百十三,팔천사백십삼,aštuoni tūkstančiai keturi šimtai trylika,astoņi tūkstoši četri simti trīspadsmit,osiem tysięcy czterysta trzynaście,восемь тысяч четыреста тринадцать,sekizbindörtyüzonüç,แปดพันสี่ร้อยสิบสาม,tám nghìn bốn trăm mười ba
279,6706,6|x|1000|+|7|x|100|+|0|+|6,"six thousand, seven hundred and six",sechstausendsiebenhundertsechs,seis mil setecientos seis,six mille sept cent six,enam ribu tujuh ratus enam,seimilasettecentosei,六千七百六,육천칠백육,šeši tūkstančiai septyni šimtai šeši,seši tūkstoši septiņi simti seši,sześć tysięcy siedemset sześć,шесть тысяч семьсот шесть,altıbinyediyüzaltı,หกพันเจ็ดร้อยหก,sáu nghìn bảy trăm lẻ sáu
280,8724,8|x|1000|+|7|x|100|+|20|+|4,"eight thousand, seven hundred and twenty-four",achttausendsiebenhundertvierundzwanzig,ocho mil setecientos veinticuatro,huit mille sept cent vingt-quatre,delapan ribu tujuh ratus dua puluh empat,ottomilasettecentoventiquattro,八千七百二十四,팔천칠백이십사,aštuoni tūkstančiai septyni šimtai dvidešimt keturi,astoņi tūkstoši septiņi simti divdesmit četri,osiem tysięcy siedemset dwadzieścia cztery,восемь тысяч семьсот двадцать четыре,sekizbinyediyüzyirmidört,แปดพันเจ็ดร้อยยี่สิบสี่,tám nghìn bảy trăm hai mươi bốn
281,4102,4|x|1000|+|1|x|100|+|0|+|2,"four thousand, one hundred and two",viertausendeinhundertzwei,cuatro mil ciento dos,quatre mille cent deux,empat ribu seratus dua,quattromilacentodue,四千百二,사천백이,keturi tūkstančiai vienas šimtas du,četri tūkstoši simtu divi,cztery tysiące sto dwa,четыре тысячи сто два,dörtbinyüziki,สี่พันหนึ่งร้อยสอง,bốn nghìn một trăm lẻ hai
282,8894,8|x|1000|+|8|x|100|+|90|+|4,"eight thousand, eight hundred and ninety-four",achttausendachthundertvierundneunzig,ocho mil ochocientos noventa y cuatro,huit mille huit cent quatre-vingt-quatorze,delapan ribu delapan ratus sembilan puluh empat,ottomilaottocentonovantaquattro,八千八百九十四,팔천팔백구십사,aštuoni tūkstančiai aštuoni šimtai devyniasdešimt keturi,astoņi tūkstoši astoņi simti deviņdesmit četri,osiem tysięcy osiemset dziewięćdzisiąt cztery,восемь тысяч восемьсот девяносто четыре,sekizbinsekizyüzdoksandört,แปดพันแปดร้อยเก้าสิบสี่,tám nghìn tám trăm chín mươi bốn
283,6125,6|x|1000|+|1|x|100|+|20|+|5,"six thousand, one hundred and twenty-five",sechstausendeinhundertfünfundzwanzig,seis mil ciento veinticinco,six mille cent vingt-cinq,enam ribu seratus dua puluh lima,seimilacentoventicinque,六千百二十五,육천백이십오,šeši tūkstančiai vienas šimtas dvidešimt penki,seši tūkstoši simts divdesmit pieci,sześć tysięcy sto dwadzieścia pięć,шесть тысяч сто двадцать пять,altıbinyüzyirmibeş,หกพันหนึ่งร้อยยี่สิบห้า,sáu nghìn một trăm hai mươi lăm
284,4705,4|x|1000|+|7|x|100|+|0|+|5,"four thousand, seven hundred and five",viertausendsiebenhundertfünf,cuatro mil setecientos cinco,quatre mille sept cent cinq,empat ribu tujuh ratus lima,quattromilasettecentocinque,四千七百五,사천칠백오,keturi tūkstančiai septyni šimtai penki,četri tūkstoši septiņi simti pieci,cztery tysiące siedemset pięć,четыре тысячи семьсот пять,dörtbinyediyüzbeş,สี่พันเจ็ดร้อยห้า,bốn nghìn bảy trăm lẻ năm
285,3216,3|x|1000|+|2|x|100|+|10|+|6,"three thousand, two hundred and sixteen",dreitausendzweihundertsechzehn,tres mil doscientos dieciseis,trois mille deux cent seize,tiga ribu dua ratus enam belas,tremiladuecentosedici,三千二百十六,삼천이백십육,trys tūkstančiai du šimtai šešiolika,trīs tūkstoši divi simti sešpadsmit,trzy tysiące dwieście szesnaście,три тысячи двести шестнадцать,üçbinikiyüzonaltı,สามพันสองร้อยสิบหก,ba nghìn hai trăm mười sáu
286,8546,8|x|1000|+|5|x|100|+|40|+|6,"eight thousand, five hundred and forty-six",achttausendfünfhundertsechsundvierzig,ocho mil quinientos cuarenta y seis,huit mille cinq cent quarante-six,delapan ribu lima ratus empat puluh enam,ottomilacinquecentoquarantasei,八千五百四十六,팔천오백사십육,aštuoni tūkstančiai penki šimtai keturiasdešimt šeši,astoņi tūkstoši pieci simti četrdesmit seši,osiem tysięcy pięćset czterdzieści sześć,восемь тысяч пятьсот сорок шесть,sekizbinbeşyüzkırkaltı,แปดพันห้าร้อยสี่สิบหก,tám nghìn năm trăm bốn mươi sáu
287,7278,7|x|1000|+|2|x|100|+|70|+|8,"seven thousand, two hundred and seventy-eight",siebentausendzweihundertachtundsiebzig,siete mil doscientos setenta y ocho,sept mille deux cent soixante-dix-huit,tujuh ribu dua ratus tujuh puluh delapan,settemiladuecentosettantotto,七千二百七十八,칠천이백칠십팔,septyni tūkstančiai du šimtai septyniasdešimt aštuoni,septiņi tūkstoši divi simti septiņdesmit astoņi,siedem tysięcy dwieście siedemdziesiąt osiem,семь тысяч двести семьдесят восемь,yedibinikiyüzyetmişsekiz,เจ็ดพันสองร้อยเจ็ดสิบแปด,bảy nghìn hai trăm bảy mươi tám
288,5371,5|x|1000|+|3|x|100|+|70|+|1,"five thousand, three hundred and seventy-one",fünftausenddreihunderteinundsiebzig,cinco mil trescientos setenta y uno,cinq mille trois cent soixante et onze,lima ribu tiga ratus tujuh puluh satu,cinquemilatrecentosettantuno,五千三百七十一,오천삼백칠십일,penki tūkstančiai trys šimtai septyniasdešimt vienas,pieci tūkstoši trīs simti septiņdesmit viens,pięć tysięcy trzysta siedemdziesiąt jeden,пять тысяч триста семьдесят один,beşbinüçyüzyetmişbir,ห้าพันสามร้อยเจ็ดสิบเอ็ด,năm nghìn ba trăm bảy mươi mốt
289,1064,1|x|1000|+|0|x|100|+|60|+|4,one thousand and sixty-four,eintausendvierundsechzig,mil sesenta y cuatro,mille soixante-quatre,seribu enam puluh empat,millesessantaquattro,千六十四,천육십사,vienas tūkstantis šešiasdešimt keturi,tūkstotis sešdesmit četri,tysiąc sześćdziesiąt cztery,одна тысяча шестьдесят четыре,binaltmışdört,หนึ่งพันหกสิบสี่,một nghìn lẻ sáu mươi bốn
290,4677,4|x|1000|+|6|x|100|+|70|+|7,"four thousand, six hundred and seventy-seven",viertausendsechshundertsiebenundsiebzig,cuatro mil seiscientos setenta y siete,quatre mille six cent soixante-dix-sept,empat ribu enam ratus tujuh puluh tujuh,quattromilaseicentosettantasette,四千六百七十七,사천육백칠십칠,keturi tūkstančiai šeši šimtai septyniasdešimt septyni,četri tūkstoši seši simti septiņdesmit septiņi,cztery tysiące sześćset siedemdziesiąt siedem,четыре тысячи шестьсот семьдесят семь,dörtbinaltıyüzyetmişyedi,สี่พันหกร้อยเจ็ดสิบเจ็ด,bốn nghìn sáu trăm bảy mươi bảy
291,2622,2|x|1000|+|6|x|100|+|20|+|2,"two thousand, six hundred and twenty-two",zweitausendsechshundertzweiundzwanzig,dos mil seiscientos veintidós,deux mille six cent vingt-deux,dua ribu enam ratus dua puluh dua,duemilaseicentoventidue,二千六百二十二,이천육백이십이,du tūkstančiai šeši šimtai dvidešimt du,divi tūkstoši seši simti divdesmit divi,dwa tysiące sześćset dwadzieścia dwa,две тысячи шестьсот двадцать два,ikibinaltıyüzyirmiiki,สองพันหกร้อยยี่สิบสอง,hai nghìn sáu trăm hai mươi hai
292,6587,6|x|1000|+|5|x|100|+|80|+|7,"six thousand, five hundred and eighty-seven",sechstausendfünfhundertsiebenundachtzig,seis mil quinientos ochenta y siete,six mille cinq cent quatre-vingt-sept,enam ribu lima ratus delapan puluh tujuh,seimilacinquecentottantasette,六千五百八十七,육천오백팔십칠,šeši tūkstančiai penki šimtai aštuoniasdešimt septyni,seši tūkstoši pieci simti astoņdesmit septiņi,sześć tysięcy pięćset osiemdziesiąt siedem,шесть тысяч пятьсот восемьдесят семь,altıbinbeşyüzseksenyedi,หกพันห้าร้อยแปดสิบเจ็ด,sáu nghìn năm trăm tám mươi bảy
293,3778,3|x|1000|+|7|x|100|+|70|+|8,"three thousand, seven hundred and seventy-eight",dreitausendsiebenhundertachtundsiebzig,tres mil setecientos setenta y ocho,trois mille sept cent soixante-dix-huit,tiga ribu tujuh ratus tujuh puluh delapan,tremilasettecentosettantotto,三千七百七十八,삼천칠백칠십팔,trys tūkstančiai septyni šimtai septyniasdešimt aštuoni,trīs tūkstoši septiņi simti septiņdesmit astoņi,trzy tysiące siedemset siedemdziesiąt osiem,три тысячи семьсот семьдесят восемь,üçbinyediyüzyetmişsekiz,สามพันเจ็ดร้อยเจ็ดสิบแปด,ba nghìn bảy trăm bảy mươi tám
294,2580,2|x|1000|+|5|x|100|+|80|+|0,"two thousand, five hundred and eighty",zweitausendfünfhundertachtzig,dos mil quinientos ochenta,deux mille cinq cent quatre-vingts,dua ribu lima ratus delapan puluh,duemilacinquecentottanta,二千五百八十,이천오백팔십,du tūkstančiai penki šimtai aštuoniasdešimt,divi tūkstoši pieci simti astoņdesmit,dwa tysiące pięćset osiemdziesiąt,две тысячи пятьсот восемьдесят,ikibinbeşyüzseksen,สองพันห้าร้อยแปดสิบ,hai nghìn năm trăm tám mươi
295,1931,1|x|1000|+|9|x|100|+|30|+|1,"one thousand, nine hundred and thirty-one",eintausendneunhunderteinunddreißig,mil novecientos treinta y uno,mille neuf cent trente et un,seribu sembilan ratus tiga puluh satu,millenovecentotrentuno,千九百三十一,천구백삼십일,vienas tūkstantis devyni šimtai trisdešimt vienas,tūkstotis deviņi simti trīsdesmit viens,tysiąc dziewięćset trzydzieści jeden,одна тысяча девятьсот тридцать один,bindokuzyüzotuzbir,หนึ่งพันเก้าร้อยสามสิบเอ็ด,một nghìn chín trăm ba mươi mốt
296,2935,2|x|1000|+|9|x|100|+|30|+|5,"two thousand, nine hundred and thirty-five",zweitausendneunhundertfünfunddreißig,dos mil novecientos treinta y cinco,deux mille neuf cent trente-cinq,dua ribu sembilan ratus tiga puluh lima,duemilanovecentotrentacinque,二千九百三十五,이천구백삼십오,du tūkstančiai devyni šimtai trisdešimt penki,divi tūkstoši deviņi simti trīsdesmit pieci,dwa tysiące dziewięćset trzydzieści pięć,две тысячи девятьсот тридцать пять,ikibindokuzyüzotuzbeş,สองพันเก้าร้อยสามสิบห้า,hai nghìn chín trăm ba mươi lăm
297,91817,90|+|1|x|1000|+|8|x|100|+|10|+|7,"ninety-one thousand, eight hundred and seventeen",einundneunzigtausendachthundertsiebzehn,noventa y uno mil ochocientos diecisiete,quatre-vingt-onze mille huit cent dix-sept,sembilan puluh satu ribu delapan ratus tujuh belas,novantunomilaottocentodiciassette,九万千八百十七,구만 천팔백십칠,devyniasdešimt vienas tūkstantis aštuoni šimtai septyniolika,deviņdesmit viens tūkstotis astoņi simti septiņpadsmit,dziewięćdzisiąt jeden tysięcy osiemset siedemnaście,девяносто одна тысяча восемьсот семнадцать,doksanbirbinsekizyüzonyedi,เก้าหมื่นหนึ่งพันแปดร้อยสิบเจ็ด,chín mươi mốt nghìn tám trăm mười bảy
298,72041,70|+|2|x|1000|+|0|x|100|+|40|+|1,seventy-two thousand and forty-one,zweiundsiebzigtausendeinundvierzig,setenta y dos mil cuarenta y uno,soixante-douze mille quarante et un,tujuh puluh dua ribu empat puluh satu,settantaduemilaquarantuno,七万二千四十一,칠만 이천사십일,septyniasdešimt du tūkstančiai keturiasdešimt vienas,septiņdesmit divi tūkstoši četrdesmit viens,siedemdziesiąt dwa tysiące czterdzieści jeden,семьдесят две тысячи сорок один,yetmişikibinkırkbir,เจ็ดหมื่นสองพันสี่สิบเอ็ด,bảy mươi hai nghìn lẻ bốn mươi mốt
299,44945,40|+|4|x|1000|+|9|x|100|+|40|+|5,"forty-four thousand, nine hundred and forty-five",vierundvierzigtausendneunhundertfünfundvierzig,cuarenta y cuatro mil novecientos cuarenta y cinco,quarante-quatre mille neuf cent quarante-cinq,empat puluh empat ribu sembilan ratus empat puluh lima,quarantaquattromilanovecentoquarantacinque,四万四千九百四十五,사만 사천구백사십오,keturiasdešimt keturi tūkstančiai devyni šimtai keturiasdešimt penki,četrdesmit četri tūkstoši deviņi simti četrdesmit pieci,czterdzieści cztery tysiące dziewięćset czterdzieści pięć,сорок четыре тысячи девятьсот сорок пять,kırkdörtbindokuzyüzkırkbeş,สี่หมื่นสี่พันเก้าร้อยสี่สิบห้า,bốn mươi bốn nghìn chín trăm bốn mươi lăm
300,76772,70|+|6|x|1000|+|7|x|100|+|70|+|2,"seventy-six thousand, seven hundred and seventy-two",sechsundsiebzigtausendsiebenhundertzweiundsiebzig,setenta y seis mil setecientos setenta y dos,soixante-seize mille sept cent soixante-douze,tujuh puluh enam ribu tujuh ratus tujuh puluh dua,settantaseimilasettecentosettantadue,七万六千七百七十二,칠만 육천칠백칠십이,septyniasdešimt šeši tūkstančiai septyni šimtai septyniasdešimt du,septiņdesmit seši tūkstoši septiņi simti septiņdesmit divi,siedemdziesiąt sześć tysięcy siedemset siedemdziesiąt dwa,семьдесят шесть тысяч семьсот семьдесят два,yetmişaltıbinyediyüzyetmişiki,เจ็ดหมื่นหกพันเจ็ดร้อยเจ็ดสิบสอง,bảy mươi sáu nghìn bảy trăm bảy mươi hai
301,31083,30|+|1|x|1000|+|0|x|100|+|80|+|3,thirty-one thousand and eighty-three,einunddreißigtausenddreiundachtzig,treinta y uno mil ochenta y tres,trente et un mille quatre-vingt-trois,tiga puluh satu ribu delapan puluh tiga,trentunomilaottantatre,三万千八十三,삼만 천팔십삼,trisdešimt vienas tūkstantis aštuoniasdešimt trys,trīsdesmit viens tūkstotis astoņdesmit trīs,trzydzieści jeden tysięcy osiemdziesiąt trzy,тридцать одна тысяча восемьдесят три,otuzbirbinseksenüç,สามหมื่นหนึ่งพันแปดสิบสาม,ba mươi mốt nghìn lẻ tám mươi ba
302,16306,10|+|6|x|1000|+|3|x|100|+|0|+|6,"sixteen thousand, three hundred and six",sechzehntausenddreihundertsechs,dieciseis mil trescientos seis,seize mille trois cent six,enam belas ribu tiga ratus enam,sedicimilatrecentosei,一万六千三百六,만 육천삼백육,šešiolika tūkstančių trys šimtai šeši,sešpadsmit tūkstoši trīs simti seši,szesnaście tysięcy trzysta sześć,шестнадцать тысяч триста шесть,onaltıbinüçyüzaltı,หนึ่งหมื่นหกพันสามร้อยหก,mười sáu nghìn ba trăm lẻ sáu
303,92897,90|+|2|x|1000|+|8|x|100|+|90|+|7,"ninety-two thousand, eight hundred and ninety-seven",zweiundneunzigtausendachthundertsiebenundneunzig,noventa y dos mil ochocientos noventa y siete,quatre-vingt-douze mille huit cent quatre-vingt-dix-sept,sembilan puluh dua ribu delapan ratus sembilan puluh tujuh,novantaduemilaottocentonovantasette,九万二千八百九十七,구만 이천팔백구십칠,devyniasdešimt du tūkstančiai aštuoni šimtai devyniasdešimt septyni,deviņdesmit divi tūkstoši astoņi simti deviņdesmit septiņi,dziewięćdzisiąt dwa tysiące osiemset dziewięćdzisiąt siedem,девяносто две тысячи восемьсот девяносто семь,doksanikibinsekizyüzdoksanyedi,เก้าหมื่นสองพันแปดร้อยเก้าสิบเจ็ด,chín mươi hai nghìn tám trăm chín mươi bảy
304,72947,70|+|2|x|1000|+|9|x|100|+|40|+|7,"seventy-two thousand, nine hundred and forty-seven",zweiundsiebzigtausendneunhundertsiebenundvierzig,setenta y dos mil novecientos cuarenta y siete,soixante-douze mille neuf cent quarante-sept,tujuh puluh dua ribu sembilan ratus empat puluh tujuh,settantaduemilanovecentoquarantasette,七万二千九百四十七,칠만 이천구백사십칠,septyniasdešimt du tūkstančiai devyni šimtai keturiasdešimt septyni,septiņdesmit divi tūkstoši deviņi simti četrdesmit septiņi,siedemdziesiąt dwa tysiące dziewięćset czterdzieści siedem,семьдесят две тысячи девятьсот сорок семь,yetmişikibindokuzyüzkırkyedi,เจ็ดหมื่นสองพันเก้าร้อยสี่สิบเจ็ด,bảy mươi hai nghìn chín trăm bốn mươi bảy
305,68488,60|+|8|x|1000|+|4|x|100|+|80|+|8,"sixty-eight thousand, four hundred and eighty-eight",achtundsechzigtausendvierhundertachtundachtzig,sesenta y ocho mil cuatrocientos ochenta y ocho,soixante-huit mille quatre cent quatre-vingt-huit,enam puluh delapan ribu empat ratus delapan puluh delapan,sessantottomilaquattrocentottantotto,六万八千四百八十八,육만 팔천사백팔십팔,šešiasdešimt aštuoni tūkstančiai keturi šimtai aštuoniasdešimt aštuoni,sešdesmit astoņi tūkstoši četri simti astoņdesmit astoņi,sześćdziesiąt osiem tysięcy czterysta osiemdziesiąt osiem,шестьдесят восемь тысяч четыреста восемьдесят восемь,altmışsekizbindörtyüzseksensekiz,หกหมื่นแปดพันสี่ร้อยแปดสิบแปด,sáu mươi tám nghìn bốn trăm tám mươi tám
306,13912,10|+|3|x|1000|+|9|x|100|+|10|+|2,"thirteen thousand, nine hundred and twelve",dreizehntausendneunhundertzwölf,trece mil novecientos doce,treize mille neuf cent douze,tiga belas ribu sembilan ratus dua belas,tredicimilanovecentododici,一万三千九百十二,만 삼천구백십이,trylika tūkstančių devyni šimtai dvylika,trīspadsmit tūkstoši deviņi simti divpadsmit,trzynaście tysięcy dziewięćset dwanaście,тринадцать тысяч девятьсот двенадцать,onüçbindokuzyüzoniki,หนึ่งหมื่นสามพันเก้าร้อยสิบสอง,mười ba nghìn chín trăm mười hai
307,42288,40|+|2|x|1000|+|2|x|100|+|80|+|8,"forty-two thousand, two hundred and eighty-eight",zweiundvierzigtausendzweihundertachtundachtzig,cuarenta y dos mil doscientos ochenta y ocho,quarante-deux mille deux cent quatre-vingt-huit,empat puluh dua ribu dua ratus delapan puluh delapan,quarantaduemiladuecentottantotto,四万二千二百八十八,사만 이천이백팔십팔,keturiasdešimt du tūkstančiai du šimtai aštuoniasdešimt aštuoni,četrdesmit divi tūkstoši divi simti astoņdesmit astoņi,czterdzieści dwa tysiące dwieście osiemdziesiąt osiem,сорок две тысячи двести восемьдесят восемь,kırkikibinikiyüzseksensekiz,สี่หมื่นสองพันสองร้อยแปดสิบแปด,bốn mươi hai nghìn hai trăm tám mươi tám
308,43453,40|+|3|x|1000|+|4|x|100|+|50|+|3,"forty-three thousand, four hundred and fifty-three",dreiundvierzigtausendvierhundertdreiundfünfzig,cuarenta y tres mil cuatrocientos cincuenta y tres,quarante-trois mille quatre cent cinquante-trois,empat puluh tiga ribu empat ratus lima puluh tiga,quarantatremilaquattrocentocinquantatré,四万三千四百五十三,사만 삼천사백오십삼,keturiasdešimt trys tūkstančiai keturi šimtai penkiasdešimt trys,četrdesmit trīs tūkstoši četri simti piecdesmit trīs,czterdzieści trzy tysiące czterysta pięćdziesiąt trzy,сорок три тысячи четыреста пятьдесят три,kırküçbindörtyüzelliüç,สี่หมื่นสามพันสี่ร้อยห้าสิบสาม,bốn mươi ba nghìn bốn trăm năm mươi ba
309,40845,40|+|0|x|1000|+|8|x|100|+|40|+|5,"forty thousand, eight hundred and forty-five",vierzigtausendachthundertfünfundvierzig,cuarenta mil ochocientos cuarenta y cinco,quarante mille huit cent quarante-cinq,empat puluh ribu delapan ratus empat puluh lima,quarantamilaottocentoquarantacinque,四万八百四十五,사만 팔백사십오,keturiasdešimt tūkstančių aštuoni šimtai keturiasdešimt penki,četrdesmit tūkstoši astoņi simti četrdesmit pieci,czterdzieści tysięcy osiemset czterdzieści pięć,сорок тысяч восемьсот сорок пять,kırkbinsekizyüzkırkbeş,สี่หมื่นแปดร้อยสี่สิบห้า,bốn mươi nghìn tám trăm bốn mươi lăm
310,51401,50|+|1|x|1000|+|4|x|100|+|0|+|1,"fifty-one thousand, four hundred and one",einundfünfzigtausendvierhunderteins,cincuenta y uno mil cuatrocientos uno,cinquante et un mille quatre cent un,lima puluh satu ribu empat ratus satu,cinquantunomilaquattrocentouno,五万千四百一,오만 천사백일,penkiasdešimt vienas tūkstantis keturi šimtai vienas,piecdesmit viens tūkstotis četri simti viens,pięćdziesiąt jeden tysięcy czterysta jeden,пятьдесят одна тысяча четыреста один,ellibirbindörtyüzbir,ห้าหมื่นหนึ่งพันสี่ร้อยเอ็ด,năm mươi mốt nghìn bốn trăm lẻ một
311,27207,20|+|7|x|1000|+|2|x|100|+|0|+|7,"twenty-seven thousand, two hundred and seven",siebenundzwanzigtausendzweihundertsieben,veintisiete mil doscientos siete,vingt-sept mille deux cent sept,dua puluh tujuh ribu dua ratus tujuh,ventisettemiladuecentosette,二万七千二百七,이만 칠천이백칠,dvidešimt septyni tūkstančiai du šimtai septyni,divdesmit septiņi tūkstoši divi simti septiņi,dwadzieścia siedem tysięcy dwieście siedem,двадцать семь тысяч двести семь,yirmiyedibinikiyüzyedi,สองหมื่นเจ็ดพันสองร้อยเจ็ด,hai mươi bảy nghìn hai trăm lẻ bảy
312,16087,10|+|6|x|1000|+|0|x|100|+|80|+|7,sixteen thousand and eighty-seven,sechzehntausendsiebenundachtzig,dieciseis mil ochenta y siete,seize mille quatre-vingt-sept,enam belas ribu delapan puluh tujuh,sedicimilaottantasette,一万六千八十七,만 육천팔십칠,šešiolika tūkstančių aštuoniasdešimt septyni,sešpadsmit tūkstoši astoņdesmit septiņi,szesnaście tysięcy osiemdziesiąt siedem,шестнадцать тысяч восемьдесят семь,onaltıbinseksenyedi,หนึ่งหมื่นหกพันแปดสิบเจ็ด,mười sáu nghìn lẻ tám mươi bảy
313,77292,70|+|7|x|1000|+|2|x|100|+|90|+|2,"seventy-seven thousand, two hundred and ninety-two",siebenundsiebzigtausendzweihundertzweiundneunzig,setenta y siete mil doscientos noventa y dos,soixante-dix-sept mille deux cent quatre-vingt-douze,tujuh puluh tujuh ribu dua ratus sembilan puluh dua,settantasettemiladuecentonovantadue,七万七千二百九十二,칠만 칠천이백구십이,septyniasdešimt septyni tūkstančiai du šimtai devyniasdešimt du,septiņdesmit septiņi tūkstoši divi simti deviņdesmit divi,siedemdziesiąt siedem tysięcy dwieście dziewięćdzisiąt dwa,семьдесят семь тысяч двести девяносто два,yetmişyedibinikiyüzdoksaniki,เจ็ดหมื่นเจ็ดพันสองร้อยเก้าสิบสอง,bảy mươi bảy nghìn hai trăm chín mươi hai
