,number,segment,en,de,es,fr,id,it,ja,ko,lt,lv,pl,ru,tr,th,vi
261,2692,2|x|1000|+|6|x|100|+|90|+|2,six thousand and ninety-nine,sechstausendneunundneunzig,seis mil noventa y nueve,six mille quatre-vingt-dix-neuf,enam ribu sembilan puluh sembilan,seimilanovantanove,六千九十九,육천구십구,šeši tūkstančiai devyniasdešimt devyni,seši tūkstoši deviņdesmit deviņi,sześć tysięcy dziewięćdzisiąt dziewięć,шесть тысяч девяносто девять,altıbindoksandokuz,หกพันเก้าสิบเก้า,sáu nghìn lẻ chín mươi chín
262,7416,7|x|1000|+|4|x|100|+|10|+|6,"one thousand, eight hundred and thirty-eight",eintausendachthundertachtunddreißig,mil ochocientos treinta y ocho,mille huit cent trente-huit,seribu delapan ratus tiga puluh delapan,milleottocentotrentotto,千八百三十八,천팔백삼십팔,vienas tūkstantis aštuoni šimtai trisdešimt aštuoni,tūkstotis astoņi simti trīsdesmit astoņi,tysiąc osiemset trzydzieści osiem,одна тысяча восемьсот тридцать восемь,binsekizyüzotuzsekiz,หนึ่งพันแปดร้อยสามสิบแปด,một nghìn tám trăm ba mươi tám
263,4210,4|x|1000|+|2|x|100|+|10|+|0,"four thousand, one hundred and eighty-seven",viertausendeinhundertsiebenundachtzig,cuatro mil ciento ochenta y siete,quatre mille cent quatre-vingt-sept,empat ribu seratus delapan puluh tujuh,quattromilacentottantasette,四千百八十七,사천백팔십칠,keturi tūkstančiai vienas šimtas aštuoniasdešimt septyni,četri tūkstoši simts astoņdesmit septiņi,cztery tysiące sto osiemdziesiąt siedem,четыре тысячи сто восемьдесят семь,dörtbinyüzseksenyedi,สี่พันหนึ่งร้อยแปดสิบเจ็ด,bốn nghìn một trăm tám mươi bảy
264,6200,6|x|1000|+|2|x|100|+|0|+|0,"six thousand, four hundred and thirty-one",sechstausendvierhunderteinunddreißig,seis mil cuatrocientos treinta y uno,six mille quatre cent trente et un,enam ribu empat ratus tiga puluh satu,seimilaquattrocentotrentuno,六千四百三十一,육천사백삼십일,šeši tūkstančiai keturi šimtai trisdešimt vienas,seši tūkstoši četri simti trīsdesmit viens,sześć tysięcy czterysta trzydzieści jeden,шесть тысяч четыреста тридцать один,altıbindörtyüzotuzbir,หกพันสี่ร้อยสามสิบเอ็ด,sáu nghìn bốn trăm ba mươi mốt
265,1992,1|x|1000|+|9|x|100|+|90|+|2,"six thousand, eight hundred and eighty-three",sechstausendachthundertdreiundachtzig,seis mil ochocientos ochenta y tres,six mille huit cent quatre-vingt-trois,enam ribu delapan ratus delapan puluh tiga,seimilaottocentottantatré,六千八百八十三,육천팔백팔십삼,šeši tūkstančiai aštuoni šimtai aštuoniasdešimt trys,seši tūkstoši astoņi simti astoņdesmit trīs,sześć tysięcy osiemset osiemdziesiąt trzy,шесть тысяч восемьсот восемьдесят три,altıbinsekizyüzseksenüç,หกพันแปดร้อยแปดสิบสาม,sáu nghìn tám trăm tám mươi ba
266,6240,6|x|1000|+|2|x|100|+|40|+|0,"seven thousand, seven hundred and fifty-three",siebentausendsiebenhundertdreiundfünfzig,siete mil setecientos cincuenta y tres,sept mille sept cent cinquante-trois,tujuh ribu tujuh ratus lima puluh tiga,settemilasettecentocinquantatré,七千七百五十三,칠천칠백오십삼,septyni tūkstančiai septyni šimtai penkiasdešimt trys,septiņi tūkstoši septiņi simti piecdesmit trīs,siedem tysięcy siedemset pięćdziesiąt trzy,семь тысяч семьсот пятьдесят три,yedibinyediyüzelliüç,เจ็ดพันเจ็ดร้อยห้าสิบสาม,bảy nghìn bảy trăm năm mươi ba
267,6464,6|x|1000|+|4|x|100|+|60|+|4,"three thousand, two hundred and eighty-six",dreitausendzweihundertsechsundachtzig,tres mil doscientos ochenta y seis,trois mille deux cent quatre-vingt-six,tiga ribu dua ratus delapan puluh enam,tremiladuecentottantasei,三千二百八十六,삼천이백팔십육,trys tūkstančiai du šimtai aštuoniasdešimt šeši,trīs tūkstoši divi simti astoņdesmit seši,trzy tysiące dwieście osiemdziesiąt sześć,три тысячи двести восемьдесят шесть,üçbinikiyüzseksenaltı,สามพันสองร้อยแปดสิบหก,ba nghìn hai trăm tám mươi sáu
268,6249,6|x|1000|+|2|x|100|+|40|+|9,one thousand and sixty,eintausendsechzig,mil sesenta,mille soixante,seribu enam puluh,millesessanta,千六十,천육십,vienas tūkstantis šešiasdešimt,tūkstotis sešdesmit,tysiąc sześćdziesiąt,одна тысяча шестьдесят,binaltmış,หนึ่งพันหกสิบ,một nghìn lẻ sáu mươi
269,1524,1|x|1000|+|5|x|100|+|20|+|4,"four thousand, seven hundred and twenty-two",viertausendsiebenhundertzweiundzwanzig,cuatro mil setecientos veintidós,quatre mille sept cent vingt-deux,empat ribu tujuh ratus dua puluh dua,quattromilasettecentoventidue,四千七百二十二,사천칠백이십이,keturi tūkstančiai septyni šimtai dvidešimt du,četri tūkstoši septiņi simti divdesmit divi,cztery tysiące siedemset dwadzieścia dwa,четыре тысячи семьсот двадцать два,dörtbinyediyüzyirmiiki,สี่พันเจ็ดร้อยยี่สิบสอง,bốn nghìn bảy trăm hai mươi hai
270,8592,8|x|1000|+|5|x|100|+|90|+|2,"eight thousand, nine hundred and twenty",achttausendneunhundertzwanzig,ocho mil novecientos veinte,huit mille neuf cent vingt,delapan ribu sembilan ratus dua puluh,ottomilanovecentoventi,八千九百二十,팔천구백이십,aštuoni tūkstančiai devyni šimtai dvidešimt,astoņi tūkstoši deviņi simti divdesmit,osiem tysięcy dziewięćset dwadzieścia,восемь тысяч девятьсот двадцать,sekizbindokuzyüzyirmi,แปดพันเก้าร้อยยี่สิบ,tám nghìn chín trăm hai mươi
271,5852,5|x|1000|+|8|x|100|+|50|+|2,"seven thousand, seven hundred and fifty-one",siebentausendsiebenhunderteinundfünfzig,siete mil setecientos cincuenta y uno,sept mille sept cent cinquante et un,tujuh ribu tujuh ratus lima puluh satu,settemilasettecentocinquantuno,七千七百五十一,칠천칠백오십일,septyni tūkstančiai septyni šimtai penkiasdešimt vienas,septiņi tūkstoši septiņi simti piecdesmit viens,siedem tysięcy siedemset pięćdziesiąt jeden,семь тысяч семьсот пятьдесят один,yedibinyediyüzellibir,เจ็ดพันเจ็ดร้อยห้าสิบเอ็ด,bảy nghìn bảy trăm năm mươi mốt
272,9833,9|x|1000|+|8|x|100|+|30|+|3,"nine thousand, six hundred and twelve",neuntausendsechshundertzwölf,nueve mil seiscientos doce,neuf mille six cent douze,sembilan ribu enam ratus dua belas,novemilaseicentododici,九千六百十二,구천육백십이,devyni tūkstančiai šeši šimtai dvylika,deviņi tūkstoši seši simti divpadsmit,dziewięć tysięcy sześćset dwanaście,девять тысяч шестьсот двенадцать,dokuzbinaltıyüzoniki,เก้าพันหกร้อยสิบสอง,chín nghìn sáu trăm mười hai
273,2545,2|x|1000|+|5|x|100|+|40|+|5,"one thousand, five hundred and forty-seven",eintausendfünfhundertsiebenundvierzig,mil quinientos cuarenta y siete,mille cinq cent quarante-sept,seribu lima ratus empat puluh tujuh,millecinquecentoquarantasette,千五百四十七,천오백사십칠,vienas tūkstantis penki šimtai keturiasdešimt septyni,tūkstotis pieci simti četrdesmit septiņi,tysiąc pięćset czterdzieści siedem,одна тысяча пятьсот сорок семь,binbeşyüzkırkyedi,หนึ่งพันห้าร้อยสี่สิบเจ็ด,một nghìn năm trăm bốn mươi bảy
274,1600,1|x|1000|+|6|x|100|+|0|+|0,"two thousand, nine hundred and sixty-two",zweitausendneunhundertzweiundsechzig,dos mil novecientos sesenta y dos,deux mille neuf cent soixante-deux,dua ribu sembilan ratus enam puluh dua,duemilanovecentosessantadue,二千九百六十二,이천구백육십이,du tūkstančiai devyni šimtai šešiasdešimt du,divi tūkstoši deviņi simti sešdesmit divi,dwa tysiące dziewięćset sześćdziesiąt dwa,две тысячи девятьсот шестьдесят два,ikibindokuzyüzaltmışiki,สองพันเก้าร้อยหกสิบสอง,hai nghìn chín trăm sáu mươi hai
275,9307,9|x|1000|+|3|x|100|+|0|+|7,"eight thousand, two hundred and twenty-seven",achttausendzweihundertsiebenundzwanzig,ocho mil doscientos veintisiete,huit mille deux cent vingt-sept,delapan ribu dua ratus dua puluh tujuh,ottomiladuecentoventisette,八千二百二十七,팔천이백이십칠,aštuoni tūkstančiai du šimtai dvidešimt septyni,astoņi tūkstoši divi simti divdesmit septiņi,osiem tysięcy dwieście dwadzieścia siedem,восемь тысяч двести двадцать семь,sekizbinikiyüzyirmiyedi,แปดพันสองร้อยยี่สิบเจ็ด,tám nghìn hai trăm hai mươi bảy
276,8213,8|x|1000|+|2|x|100|+|10|+|3,"five thousand, five hundred and forty-five",fünftausendfünfhundertfünfundvierzig,cinco mil quinientos cuarenta y cinco,cinq mille cinq cent quarante-cinq,lima ribu lima ratus empat puluh lima,cinquemilacinquecentoquarantacinque,五千五百四十五,오천오백사십오,penki tūkstančiai penki šimtai keturiasdešimt penki,pieci tūkstoši pieci simti četrdesmit pieci,pięć tysięcy pięćset czterdzieści pięć,пять тысяч пятьсот сорок пять,beşbinbeşyüzkırkbeş,ห้าพันห้าร้อยสี่สิบห้า,năm nghìn năm trăm bốn mươi lăm
277,3057,3|x|1000|+|0|x|100|+|50|+|7,"six thousand, four hundred and ninety-four",sechstausendvierhundertvierundneunzig,seis mil cuatrocientos noventa y cuatro,six mille quatre cent quatre-vingt-quatorze,enam ribu empat ratus sembilan puluh empat,seimilaquattrocentonovantaquattro,六千四百九十四,육천사백구십사,šeši tūkstančiai keturi šimtai devyniasdešimt keturi,seši tūkstoši četri simti deviņdesmit četri,sześć tysięcy czterysta dziewięćdzisiąt cztery,шесть тысяч четыреста девяносто четыре,altıbindörtyüzdoksandört,หกพันสี่ร้อยเก้าสิบสี่,sáu nghìn bốn trăm chín mươi bốn
278,9467,9|x|1000|+|4|x|100|+|60|+|7,"three thousand, three hundred and seventy-five",dreitausenddreihundertfünfundsiebzig,tres mil trescientos setenta y cinco,trois mille trois cent soixante-quinze,tiga ribu tiga ratus tujuh puluh lima,tremilatrecentosettantacinque,三千三百七十五,삼천삼백칠십오,trys tūkstančiai trys šimtai septyniasdešimt penki,trīs tūkstoši trīs simti septiņdesmit pieci,trzy tysiące trzysta siedemdziesiąt pięć,три тысячи триста семьдесят пять,üçbinüçyüzyetmişbeş,สามพันสามร้อยเจ็ดสิบห้า,ba nghìn ba trăm bảy mươi lăm
279,9922,9|x|1000|+|9|x|100|+|20|+|2,"three thousand, six hundred and thirty-nine",dreitausendsechshundertneununddreißig,tres mil seiscientos treinta y nueve,trois mille six cent trente-neuf,tiga ribu enam ratus tiga puluh sembilan,tremilaseicentotrentanove,三千六百三十九,삼천육백삼십구,trys tūkstančiai šeši šimtai trisdešimt devyni,trīs tūkstoši seši simti trīsdesmit deviņi,trzy tysiące sześćset trzydzieści dziewięć,три тысячи шестьсот тридцать девять,üçbinaltıyüzotuzdokuz,สามพันหกร้อยสามสิบเก้า,ba nghìn sáu trăm ba mươi chín
280,5943,5|x|1000|+|9|x|100|+|40|+|3,"four thousand, seven hundred and sixty-six",viertausendsiebenhundertsechsundsechzig,cuatro mil setecientos sesenta y seis,quatre mille sept cent soixante-six,empat ribu tujuh ratus enam puluh enam,quattromilasettecentosessantasei,四千七百六十六,사천칠백육십육,keturi tūkstančiai septyni šimtai šešiasdešimt šeši,četri tūkstoši septiņi simti sešdesmit seši,cztery tysiące siedemset sześćdziesiąt sześć,четыре тысячи семьсот шестьдесят шесть,dörtbinyediyüzaltmışaltı,สี่พันเจ็ดร้อยหกสิบหก,bốn nghìn bảy trăm sáu mươi sáu
281,6718,6|x|1000|+|7|x|100|+|10|+|8,"seven thousand, two hundred and sixty",siebentausendzweihundertsechzig,siete mil doscientos sesenta,sept mille deux cent soixante,tujuh ribu dua ratus enam puluh,settemiladuecentosessanta,七千二百六十,칠천이백육십,septyni tūkstančiai du šimtai šešiasdešimt,septiņi tūkstoši divi simti sešdesmit,siedem tysięcy dwieście sześćdziesiąt,семь тысяч двести шестьдесят,yedibinikiyüzaltmış,เจ็ดพันสองร้อยหกสิบ,bảy nghìn hai trăm sáu mươi
282,2730,2|x|1000|+|7|x|100|+|30|+|0,"four thousand, six hundred and four",viertausendsechshundertvier,cuatro mil seiscientos cuatro,quatre mille six cent quatre,empat ribu enam ratus empat,quattromilaseicentoquattro,四千六百四,사천육백사,keturi tūkstančiai šeši šimtai keturi,četri tūkstoši seši simti četri,cztery tysiące sześćset cztery,четыре тысячи шестьсот четыре,dörtbinaltıyüzdört,สี่พันหกร้อยสี่,bốn nghìn sáu trăm lẻ bốn
283,9204,9|x|1000|+|2|x|100|+|0|+|4,three thousand and eighty-six,dreitausendsechsundachtzig,tres mil ochenta y seis,trois mille quatre-vingt-six,tiga ribu delapan puluh enam,tremilaottantasei,三千八十六,삼천팔십육,trys tūkstančiai aštuoniasdešimt šeši,trīs tūkstoši astoņdesmit seši,trzy tysiące osiemdziesiąt sześć,три тысячи восемьдесят шесть,üçbinseksenaltı,สามพันแปดสิบหก,ba nghìn lẻ tám mươi sáu
284,40649,40|+|0|x|1000|+|6|x|100|+|40|+|9,"thirteen thousand, five hundred and forty-five",dreizehntausendfünfhundertfünfundvierzig,trece mil quinientos cuarenta y cinco,treize mille cinq cent quarante-cinq,tiga belas ribu lima ratus empat puluh lima,tredicimilacinquecentoquarantacinque,一万三千五百四十五,만 삼천오백사십오,trylika tūkstančių penki šimtai keturiasdešimt penki,trīspadsmit tūkstoši pieci simti četrdesmit pieci,trzynaście tysięcy pięćset czterdzieści pięć,тринадцать тысяч пятьсот сорок пять,onüçbinbeşyüzkırkbeş,หนึ่งหมื่นสามพันห้าร้อยสี่สิบห้า,mười ba nghìn năm trăm bốn mươi lăm
285,80579,80|+|0|x|1000|+|5|x|100|+|70|+|9,"thirty-six thousand, one hundred and one",sechsunddreißigtausendeinhunderteins,treinta y seis mil ciento uno,trente-six mille cent un,tiga puluh enam ribu seratus satu,trentaseimilacentouno,三万六千百一,삼만 육천백일,trisdešimt šeši tūkstančiai vienas šimtas vienas,trīsdesmit seši tūkstoši simtu viens,trzydzieści sześć tysięcy sto jeden,тридцать шесть тысяч сто один,otuzaltıbinyüzbir,สามหมื่นหกพันหนึ่งร้อยเอ็ด,ba mươi sáu nghìn một trăm lẻ một
286,56119,50|+|6|x|1000|+|1|x|100|+|10|+|9,"eighty-five thousand, two hundred and forty-six",fünfundachtzigtausendzweihundertsechsundvierzig,ochenta y cinco mil doscientos cuarenta y seis,quatre-vingt-cinq mille deux cent quarante-six,delapan puluh lima ribu dua ratus empat puluh enam,ottantacinquemiladuecentoquarantasei,八万五千二百四十六,팔만 오천이백사십육,aštuoniasdešimt penki tūkstančiai du šimtai keturiasdešimt šeši,astoņdesmit pieci tūkstoši divi simti četrdesmit seši,osiemdziesiąt pięć tysięcy dwieście czterdzieści sześć,восемьдесят пять тысяч двести сорок шесть,seksenbeşbinikiyüzkırkaltı,แปดหมื่นห้าพันสองร้อยสี่สิบหก,tám mươi lăm nghìn hai trăm bốn mươi sáu
287,91565,90|+|1|x|1000|+|5|x|100|+|60|+|5,"ninety-four thousand, four hundred and eight",vierundneunzigtausendvierhundertacht,noventa y cuatro mil cuatrocientos ocho,quatre-vingt-quatorze mille quatre cent huit,sembilan puluh empat ribu empat ratus delapan,novantaquattromilaquattrocentotto,九万四千四百八,구만 사천사백팔,devyniasdešimt keturi tūkstančiai keturi šimtai aštuoni,deviņdesmit četri tūkstoši četri simti astoņi,dziewięćdzisiąt cztery tysiące czterysta osiem,девяносто четыре тысячи четыреста восемь,doksandörtbindörtyüzsekiz,เก้าหมื่นสี่พันสี่ร้อยแปด,chín mươi bốn nghìn bốn trăm lẻ tám
288,12403,10|+|2|x|1000|+|4|x|100|+|0|+|3,"twenty-five thousand, seven hundred and thirty-nine",fünfundzwanzigtausendsiebenhundertneununddreißig,veinticinco mil setecientos treinta y nueve,vingt-cinq mille sept cent trente-neuf,dua puluh lima ribu tujuh ratus tiga puluh sembilan,venticinquemilasettecentotrentanove,二万五千七百三十九,이만 오천칠백삼십구,dvidešimt penki tūkstančiai septyni šimtai trisdešimt devyni,divdesmit pieci tūkstoši septiņi simti trīsdesmit deviņi,dwadzieścia pięć tysięcy siedemset trzydzieści dziewięć,двадцать пять тысяч семьсот тридцать девять,yirmibeşbinyediyüzotuzdokuz,สองหมื่นห้าพันเจ็ดร้อยสามสิบเก้า,hai mươi lăm nghìn bảy trăm ba mươi chín
289,74026,70|+|4|x|1000|+|0|x|100|+|20|+|6,"sixty-three thousand, six hundred and eighty-nine",dreiundsechzigtausendsechshundertneunundachtzig,sesenta y tres mil seiscientos ochenta y nueve,soixante-trois mille six cent quatre-vingt-neuf,enam puluh tiga ribu enam ratus delapan puluh sembilan,sessantatremilaseicentottantanove,六万三千六百八十九,육만 삼천육백팔십구,šešiasdešimt trys tūkstančiai šeši šimtai aštuoniasdešimt devyni,sešdesmit trīs tūkstoši seši simti astoņdesmit deviņi,sześćdziesiąt trzy tysiące sześćset osiemdziesiąt dziewięć,шестьдесят три тысячи шестьсот восемьдесят девять,altmışüçbinaltıyüzseksendokuz,หกหมื่นสามพันหกร้อยแปดสิบเก้า,sáu mươi ba nghìn sáu trăm tám mươi chín
290,17138,10|+|7|x|1000|+|1|x|100|+|30|+|8,twenty-nine thousand and seventy-five,neunundzwanzigtausendfünfundsiebzig,veintinueve mil setenta y cinco,vingt-neuf mille soixante-quinze,dua puluh sembilan ribu tujuh puluh lima,ventinovemilasettantacinque,二万九千七十五,이만 구천칠십오,dvidešimt devyni tūkstančiai septyniasdešimt penki,divdesmit deviņi tūkstoši septiņdesmit pieci,dwadzieścia dziewięć tysięcy siedemdziesiąt pięć,двадцать девять тысяч семьдесят пять,yirmidokuzbinyetmişbeş,สองหมื่นเก้าพันเจ็ดสิบห้า,hai mươi chín nghìn lẻ bảy mươi lăm
291,76232,70|+|6|x|1000|+|2|x|100|+|30|+|2,"sixty-three thousand, two hundred and ninety-five",dreiundsechzigtausendzweihundertfünfundneunzig,sesenta y tres mil doscientos noventa y cinco,soixante-trois mille deux cent quatre-vingt-quinze,enam puluh tiga ribu dua ratus sembilan puluh lima,sessantatremiladuecentonovantacinque,六万三千二百九十五,육만 삼천이백구십오,šešiasdešimt trys tūkstančiai du šimtai devyniasdešimt penki,sešdesmit trīs tūkstoši divi simti deviņdesmit pieci,sześćdziesiąt trzy tysiące dwieście dziewięćdzisiąt pięć,шестьдесят три тысячи двести девяносто пять,altmışüçbinikiyüzdoksanbeş,หกหมื่นสามพันสองร้อยเก้าสิบห้า,sáu mươi ba nghìn hai trăm chín mươi lăm
292,45622,40|+|5|x|1000|+|6|x|100|+|20|+|2,"ninety-one thousand, two hundred and ninety-two",einundneunzigtausendzweihundertzweiundneunzig,noventa y uno mil doscientos noventa y dos,quatre-vingt-onze mille deux cent quatre-vingt-douze,sembilan puluh satu ribu dua ratus sembilan puluh dua,novantunomiladuecentonovantadue,九万千二百九十二,구만 천이백구십이,devyniasdešimt vienas tūkstantis du šimtai devyniasdešimt du,deviņdesmit viens tūkstotis divi simti deviņdesmit divi,dziewięćdzisiąt jeden tysięcy dwieście dziewięćdzisiąt dwa,девяносто одна тысяча двести девяносто два,doksanbirbinikiyüzdoksaniki,เก้าหมื่นหนึ่งพันสองร้อยเก้าสิบสอง,chín mươi mốt nghìn hai trăm chín mươi hai
293,25584,20|+|5|x|1000|+|5|x|100|+|80|+|4,"fifty thousand, seven hundred and sixteen",fünfzigtausendsiebenhundertsechzehn,cincuenta mil setecientos dieciseis,cinquante mille sept cent seize,lima puluh ribu tujuh ratus enam belas,cinquantamilasettecentosedici,五万七百十六,오만 칠백십육,penkiasdešimt tūkstančių septyni šimtai šešiolika,piecdesmit tūkstoši septiņi simti sešpadsmit,pięćdziesiąt tysięcy siedemset szesnaście,пятьдесят тысяч семьсот шестнадцать,ellibinyediyüzonaltı,ห้าหมื่นเจ็ดร้อยสิบหก,năm mươi nghìn bảy trăm mười sáu
294,98990,90|+|8|x|1000|+|9|x|100|+|90|+|0,"ninety-four thousand, seven hundred and fifty-nine",vierundneunzigtausendsiebenhundertneunundfünfzig,noventa y cuatro mil setecientos cincuenta y nueve,quatre-vingt-quatorze mille sept cent cinquante-neuf,sembilan puluh empat ribu tujuh ratus lima puluh sembilan,novantaquattromilasettecentocinquantanove,九万四千七百五十九,구만 사천칠백오십구,devyniasdešimt keturi tūkstančiai septyni šimtai penkiasdešimt devyni,deviņdesmit četri tūkstoši septiņi simti piecdesmit deviņi,dziewięćdzisiąt cztery tysiące siedemset pięćdziesiąt dziewięć,девяносто четыре тысячи семьсот пятьдесят девять,doksandörtbinyediyüzellidokuz,เก้าหมื่นสี่พันเจ็ดร้อยห้าสิบเก้า,chín mươi bốn nghìn bảy trăm năm mươi chín
295,99949,90|+|9|x|1000|+|9|x|100|+|40|+|9,"twenty-seven thousand, four hundred and eight",siebenundzwanzigtausendvierhundertacht,veintisiete mil cuatrocientos ocho,vingt-sept mille quatre cent huit,dua puluh tujuh ribu empat ratus delapan,ventisettemilaquattrocentotto,二万七千四百八,이만 칠천사백팔,dvidešimt septyni tūkstančiai keturi šimtai aštuoni,divdesmit septiņi tūkstoši četri simti astoņi,dwadzieścia siedem tysięcy czterysta osiem,двадцать семь тысяч четыреста восемь,yirmiyedibindörtyüzsekiz,สองหมื่นเจ็ดพันสี่ร้อยแปด,hai mươi bảy nghìn bốn trăm lẻ tám
296,79273,70|+|9|x|1000|+|2|x|100|+|70|+|3,"sixteen thousand, five hundred and thirty-nine",sechzehntausendfünfhundertneununddreißig,dieciseis mil quinientos treinta y nueve,seize mille cinq cent trente-neuf,enam belas ribu lima ratus tiga puluh sembilan,sedicimilacinquecentotrentanove,一万六千五百三十九,만 육천오백삼십구,šešiolika tūkstančių penki šimtai trisdešimt devyni,sešpadsmit tūkstoši pieci simti trīsdesmit deviņi,szesnaście tysięcy pięćset trzydzieści dziewięć,шестнадцать тысяч пятьсот тридцать девять,onaltıbinbeşyüzotuzdokuz,หนึ่งหมื่นหกพันห้าร้อยสามสิบเก้า,mười sáu nghìn năm trăm ba mươi chín
297,75964,70|+|5|x|1000|+|9|x|100|+|60|+|4,"thirty-six thousand, two hundred and five",sechsunddreißigtausendzweihundertfünf,treinta y seis mil doscientos cinco,trente-six mille deux cent cinq,tiga puluh enam ribu dua ratus lima,trentaseimiladuecentocinque,三万六千二百五,삼만 육천이백오,trisdešimt šeši tūkstančiai du šimtai penki,trīsdesmit seši tūkstoši divi simti pieci,trzydzieści sześć tysięcy dwieście pięć,тридцать шесть тысяч двести пять,otuzaltıbinikiyüzbeş,สามหมื่นหกพันสองร้อยห้า,ba mươi sáu nghìn hai trăm lẻ năm
298,38990,30|+|8|x|1000|+|9|x|100|+|90|+|0,forty-seven thousand and eleven,siebenundvierzigtausendelf,cuarenta y siete mil once,quarante-sept mille onze,empat puluh tujuh ribu sebelas,quarantasettemilaundici,四万七千十一,사만 칠천십일,keturiasdešimt septyni tūkstančiai vienuolika,četrdesmit septiņi tūkstoši vienpadsmit,czterdzieści siedem tysięcy jedenaście,сорок семь тысяч одиннадцать,kırkyedibinonbir,สี่หมื่นเจ็ดพันสิบเอ็ด,bốn mươi bảy nghìn lẻ mười một
299,94287,90|+|4|x|1000|+|2|x|100|+|80|+|7,"seventy-four thousand, one hundred and sixty-eight",vierundsiebzigtausendeinhundertachtundsechzig,setenta y cuatro mil ciento sesenta y ocho,soixante-quatorze mille cent soixante-huit,tujuh puluh empat ribu seratus enam puluh delapan,settantaquattromilacentosessantotto,七万四千百六十八,칠만 사천백육십팔,septyniasdešimt keturi tūkstančiai vienas šimtas šešiasdešimt aštuoni,septiņdesmit četri tūkstoši simts sešdesmit astoņi,siedemdziesiąt cztery tysiące sto sześćdziesiąt osiem,семьдесят четыре тысячи сто шестьдесят восемь,yetmişdörtbinyüzaltmışsekiz,เจ็ดหมื่นสี่พันหนึ่งร้อยหกสิบแปด,bảy mươi bốn nghìn một trăm sáu mươi tám
300,55211,50|+|5|x|1000|+|2|x|100|+|10|+|1,"forty-five thousand, two hundred and eight",fünfundvierzigtausendzweihundertacht,cuarenta y cinco mil doscientos ocho,quarante-cinq mille deux cent huit,empat puluh lima ribu dua ratus delapan,quarantacinquemiladuecentotto,四万五千二百八,사만 오천이백팔,keturiasdešimt penki tūkstančiai du šimtai aštuoni,četrdesmit pieci tūkstoši divi simti astoņi,czterdzieści pięć tysięcy dwieście osiem,сорок пять тысяч двести восемь,kırkbeşbinikiyüzsekiz,สี่หมื่นห้าพันสองร้อยแปด,bốn mươi lăm nghìn hai trăm lẻ tám
301,85331,80|+|5|x|1000|+|3|x|100|+|30|+|1,"fifty-six thousand, five hundred and ninety",sechsundfünfzigtausendfünfhundertneunzig,cincuenta y seis mil quinientos noventa,cinquante-six mille cinq cent quatre-vingt-dix,lima puluh enam ribu lima ratus sembilan puluh,cinquantaseimilacinquecentonovanta,五万六千五百九十,오만 육천오백구십,penkiasdešimt šeši tūkstančiai penki šimtai devyniasdešimt,piecdesmit seši tūkstoši pieci simti deviņdesmit,pięćdziesiąt sześć tysięcy pięćset dziewięćdzisiąt,пятьдесят шесть тысяч пятьсот девяносто,ellialtıbinbeşyüzdoksan,ห้าหมื่นหกพันห้าร้อยเก้าสิบ,năm mươi sáu nghìn năm trăm chín mươi
302,99147,90|+|9|x|1000|+|1|x|100|+|40|+|7,"sixty-three thousand, nine hundred and nine",dreiundsechzigtausendneunhundertneun,sesenta y tres mil novecientos nueve,soixante-trois mille neuf cent neuf,enam puluh tiga ribu sembilan ratus sembilan,sessantatremilanovecentonove,六万三千九百九,육만 삼천구백구,šešiasdešimt trys tūkstančiai devyni šimtai devyni,sešdesmit trīs tūkstoši deviņi simti deviņi,sześćdziesiąt trzy tysiące dziewięćset dziewięć,шестьдесят три тысячи девятьсот девять,altmışüçbindokuzyüzdokuz,หกหมื่นสามพันเก้าร้อยเก้า,sáu mươi ba nghìn chín trăm lẻ chín
303,40114,40|+|0|x|1000|+|1|x|100|+|10|+|4,"forty thousand, six hundred and fifty-four",vierzigtausendsechshundertvierundfünfzig,cuarenta mil seiscientos cincuenta y cuatro,quarante mille six cent cinquante-quatre,empat puluh ribu enam ratus lima puluh empat,quarantamilaseicentocinquantaquattro,四万六百五十四,사만 육백오십사,keturiasdešimt tūkstančių šeši šimtai penkiasdešimt keturi,četrdesmit tūkstoši seši simti piecdesmit četri,czterdzieści tysięcy sześćset pięćdziesiąt cztery,сорок тысяч шестьсот пятьдесят четыре,kırkbinaltıyüzellidört,สี่หมื่นหกร้อยห้าสิบสี่,bốn mươi nghìn sáu trăm năm mươi bốn
304,95971,90|+|5|x|1000|+|9|x|100|+|70|+|1,"twenty-two thousand, one hundred and eighty-one",zweiundzwanzigtausendeinhunderteinundachtzig,veintidós mil ciento ochenta y uno,vingt-deux mille cent quatre-vingt-un,dua puluh dua ribu seratus delapan puluh satu,ventiduemilacentottantuno,二万二千百八十一,이만 이천백팔십일,dvidešimt du tūkstančiai vienas šimtas aštuoniasdešimt vienas,divdesmit divi tūkstoši simts astoņdesmit viens,dwadzieścia dwa tysiące sto osiemdziesiąt jeden,двадцать две тысячи сто восемьдесят один,yirmiikibinyüzseksenbir,สองหมื่นสองพันหนึ่งร้อยแปดสิบเอ็ด,hai mươi hai nghìn một trăm tám mươi mốt
